Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type
Glitter & Gold: Ice Dancing,2026-02-01,PG-13,2.4,24250.0,"Drama, Music, Romance",2001,movie
Reality Check: Inside America's Next Top Model,2026-02-16,TV-MA,6.5,1180.0,Documentary,2026,series
Being Gordon Ramsay,2026-02-18,TV-MA,6.8,104.0,Documentary,2026,series
Dynasty: The Murdochs,2026-03-13,TV-MA,6.8,1335.0,"Documentary, Biography",2026,series
Trust Me: The False Prophet,2026-04-08,TV-MA,7.7,2874.0,Documentary,2026,series
This Is a Gardening Show,2026-04-22,N/A,7.7,586.0,"Documentary, Comedy, Reality-TV",2026,series
Selling Sunset,2019-03-22,TV-MA,6.5,8872.0,Reality-TV,2019,series
Love Is Blind,2020-02-13,TV-MA,6.2,12986.0,"Reality-TV, Romance",2020,series
Love Is Blind: Brazil,2021-10-06,TV-MA,6.2,1021.0,"Reality-TV, Romance",2021,series
The Ultimatum: Marry or Move On,2022-04-06,TV-MA,5.5,3131.0,Reality-TV,2022,series
Love on the Spectrum,2022-05-18,TV-14,8.6,7903.0,"Documentary, Reality-TV, Romance",2019,series
Rhythm + Flow France,2022-06-09,TV-MA,6.4,266.0,"Music, Reality-TV",2022,series
Selling the OC,2022-08-24,TV-MA,5.7,1984.0,Reality-TV,2022,series
Dubai Bling,2022-10-27,TV-MA,3.9,2165.0,Reality-TV,2022,series
Perfect Match,2023-02-14,TV-14,5.8,2786.0,"Reality-TV, Romance",2023,series
Too Hot to Handle: Germany,2023-02-28,TV-MA,4.5,474.0,"Game-Show, Reality-TV, Romance",2023,series
King of Collectibles: The Goldin Touch,2023-04-28,TV-14,6.5,1397.0,Reality-TV,2023,series
Love Village,2023-05-02,TV-14,7.4,340.0,"Reality-TV, Romance",2022,series
At Home with the Furys,2023-08-16,TV-MA,7.0,1360.0,"Documentary, Reality-TV, Sport",2023,series
The Devil's Plan,2023-09-26,TV-14,8.3,5524.0,"Game-Show, Reality-TV",2023,series
Squid Game: The Challenge,2023-11-22,TV-MA,5.9,22167.0,"Game-Show, Reality-TV",2023,series
Love Is Blind: Sweden,2024-01-12,TV-MA,6.4,774.0,"Game-Show, Reality-TV, Romance",2024,series
Unlocked: A Jail Experiment,2024-04-10,N/A,7.1,2065.0,"Documentary, Reality-TV",2024,series
Agents of Mystery,2024-06-18,TV-MA,6.7,433.0,"Crime, Game-Show, Reality-TV",2024,series
Owning Manhattan,2024-06-28,N/A,7.3,1466.0,Reality-TV,2024,series
The Boyfriend,2024-07-09,TV-MA,7.9,1855.0,"Reality-TV, Romance",2024,series
Love Is Blind: UK,2024-08-07,TV-MA,6.9,1281.0,"Game-Show, Reality-TV, Romance",2024,series
Culinary Class Wars,2024-09-17,TV-14,8.5,3114.0,"Game-Show, Reality-TV",2024,series
"Love Is Blind, Habibi",2024-10-10,TV-MA,5.1,382.0,"Reality-TV, Romance",2024,series
Love Is Blind: Germany,2025-01-03,TV-MA,5.4,228.0,"Reality-TV, Romance",2025,series
Million Dollar Secret,2025-03-26,TV-14,7.6,3453.0,"Game-Show, Reality-TV",2025,series
Better Late Than Single,2025-07-08,TV-14,7.4,660.0,"Reality-TV, Romance",2025,series
Building the Band,2025-07-09,TV-MA,7.4,1446.0,"Game-Show, Music, Reality-TV",2025,series
Hitmakers,2025-07-24,TV-MA,6.3,197.0,"Documentary, Music, Reality-TV",2025,series
Final Draft,2025-08-12,N/A,2.2,18995.0,"Comedy, Drama, Romance",2022,series
Love Is Blind: France,2025-09-10,TV-MA,5.9,46.0,"Reality-TV, Romance",2025,series
Next Gen Chef,2025-09-17,TV-PG,7.0,712.0,"Game-Show, Reality-TV",2025,series
Physical: Asia,2025-10-28,TV-14,8.1,3255.0,"Game-Show, Reality-TV",2025,series
What's in the Box,2025-12-17,N/A,6.7,27.0,"Short, Action, Adventure",2009,movie
Ready or Not: Texas,2026-03-24,N/A,6.2,63.0,"Adventure, Reality-TV",2026,series
Love Is Blind: Poland,2026-05-06,TV-MA,6.7,83.0,"Reality-TV, Romance",2026,series
Desi Bling,2026-05-20,N/A,4.0,76.0,Reality-TV,2026,series
My Next Guest Needs No Introduction with David Letterman,2018-01-12,TV-MA,7.8,6488.0,Talk-Show,2018,series
Dinner Time Live with David Chang,2024-01-25,TV-MA,7.5,321.0,Reality-TV,2024,series
The Great Indian Kapil Show,2024-03-30,TV-14,6.4,35528.0,"Comedy, Talk-Show",2024,series
Everybody's Live with John Mulaney,2025-03-12,TV-MA,6.2,172.0,"Comedy, Talk-Show",2025,series
The Rest Is Football,2026-06-10,N/A,6.4,21.0,Sport,2023,movie
Is It Cake? Holiday,2024-11-28,N/A,6.9,284.0,Reality-TV,2024,series
Famous Last Words,2025-10-03,N/A,8.8,677.0,"Documentary, Talk-Show",2025,series
One Piece Bonus Content,2026-03-17,N/A,7.2,6.0,Documentary,2026,series
The Hunting Wives,2025-07-21,TV-MA,6.8,17521.0,"Drama, Mystery, Thriller",2025,series
Doc,2026-03-04,TV-14,7.3,4490.0,Drama,2025,series
Single's Inferno,2021-12-18,TV-PG,7.3,4412.0,Reality-TV,2021,series
A Good Girl's Guide to Murder,2024-08-01,TV-MA,6.8,20870.0,"Crime, Drama, Mystery",2024,series
North of North,2025-04-10,TV-14,7.5,7302.0,Comedy,2025,series
