Title,Premiere,is_book_adaptation,book_title,book_author
Things Heard & Seen,29/04/2021,y,All Things Cease to Appear,Elizabeth Brundage
The Disciple,30/04/2021,n,,
Milestone,07/05/2021,n,,
Monster,07/05/2021,y,Monster,Walter Dean Myers
Oxygen,12/05/2021,n,,
Ferry,14/05/2021,n,,
I Am All Girls,14/05/2021,n,,
The Woman in the Window,14/05/2021,y,The Woman in the Window,A. J. Finn
Sardar Ka Grandson,18/05/2021,n,,
Army of the Dead,21/05/2021,n,,
Baggio: The Divine Ponytail,26/05/2021,n,,
Ghost Lab,26/05/2021,n,,
Blue Miracle,27/05/2021,n,,
Carnaval,02/06/2021,n,,
Dancing Queens,03/06/2021,n,,
Sweet & Sour,04/06/2021,n,,
Trippin' with the Kandasamys,04/06/2021,n,,
Xtreme,04/06/2021,n,,
Awake,09/06/2021,n,,
Tragic Jungle,09/06/2021,n,,
Skater Girl,11/06/2021,n,,
Ali & Ratu Ratu Queens,17/06/2021,n,,
Jagame Thandhiram,18/06/2021,n,,
Good on Paper,23/06/2021,n,,
America: The Motion Picture,30/06/2021,n,,
Fear Street Part 1: 1994,02/07/2021,y,Fear Street: The New Girl,R. L. Stine
The 8th Night,02/07/2021,n,,
Haseen Dillruba,02/07/2021,n,,
Fear Street Part 2: 1978,09/07/2021,y,Fear Street: The Surprise Party / The Fire Game,R. L. Stine
Last Summer,09/07/2021,n,,
A Classic Horror Story,14/07/2021,n,,
A Perfect Fit,15/07/2021,n,,
My Amanda,15/07/2021,n,,
Deep,16/07/2021,n,,
Fear Street Part 3: 1666,16/07/2021,y,Fear Street series,R. L. Stine
Blood Red Sky,23/07/2021,n,,
Bankrolled,23/07/2021,n,,
Bartkowiak,28/07/2021,n,,
Resort to Love,29/07/2021,n,,
The Last Mercenary,30/07/2021,n,,
The Kissing Booth 3,11/08/2021,n,,
Beckett,13/08/2021,n,,
Black Island,18/08/2021,n,,
The Secret Diary of an Exchange Student,18/08/2021,n,,
